Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,62.47999954223633,63.0,62.06999969482422,62.33000183105469,59.7052001953125,3988300
2016-02-02,61.040000915527344,61.630001068115234,59.779998779296875,60.119998931884766,57.5882682800293,5553000
2016-02-03,60.630001068115234,61.02000045776367,59.5099983215332,60.7599983215332,58.20131301879883,3580400
2016-02-04,60.09000015258789,60.36000061035156,58.97999954223633,59.619998931884766,57.10932922363281,5512800
2016-02-05,59.20000076293945,59.720001220703125,57.95000076293945,58.540000915527344,56.07481384277344,7492400
2016-02-08,54.97999954223633,55.439998626708984,53.040000915527344,54.04999923706055,51.77388000488281,12259100
2016-02-09,53.27000045776367,54.029998779296875,51.220001220703125,52.33000183105469,50.12631607055664,8244500
2016-02-10,53.599998474121094,54.290000915527344,52.939998626708984,53.31999969482422,51.074623107910156,6279000
2016-02-11,52.220001220703125,52.86000061035156,51.33000183105469,52.11000061035156,49.91558074951172,5627300
2016-02-12,53.33000183105469,53.869998931884766,52.52000045776367,53.869998931884766,51.601463317871094,4215700
2016-02-16,54.130001068115234,55.209999084472656,54.02000045776367,55.0099983215332,52.693458557128906,5203900
2016-02-17,55.459999084472656,56.880001068115234,55.029998779296875,56.61000061035156,54.22608184814453,6251500
2016-02-18,57.02000045776367,57.27000045776367,55.869998931884766,56.0099983215332,53.651344299316406,4663500
2016-02-19,55.40999984741211,56.029998779296875,55.06999969482422,55.900001525878906,53.54597854614258,4746400
2016-02-22,56.709999084472656,57.40999984741211,56.34000015258789,56.630001068115234,54.2452392578125,3397400
2016-02-23,56.52000045776367,56.75,55.70000076293945,55.7599983215332,53.411865234375,3388800
2016-02-24,55.18000030517578,56.33000183105469,54.529998779296875,56.189998626708984,53.823768615722656,3067000
2016-02-25,56.560001373291016,57.25,55.560001373291016,57.2400016784668,54.829551696777344,2997300
2016-02-26,57.52000045776367,57.79999923706055,56.869998931884766,57.040000915527344,54.637969970703125,3398500
2016-02-29,57.130001068115234,57.5,56.65999984741211,56.97999954223633,54.58049774169922,4675100
2016-03-01,57.869998931884766,58.41999816894531,57.41999816894531,58.209999084472656,55.75869369506836,5542700
2016-03-02,58.22999954223633,58.25,57.2400016784668,57.68000030517578,55.25102233886719,4111200
2016-03-03,57.95000076293945,58.0,56.75,57.79999923706055,55.365970611572266,3725400
2016-03-04,58.34000015258789,58.400001525878906,57.41999816894531,57.7400016784668,55.3084831237793,3611500
2016-03-07,57.25,57.290000915527344,56.459999084472656,57.0,54.59965896606445,4099200
2016-03-08,56.40999984741211,56.599998474121094,55.779998779296875,55.93000030517578,53.5747184753418,3537300
2016-03-09,56.20000076293945,56.2400016784668,55.65999984741211,56.04999923706055,53.689666748046875,3282800
2016-03-10,56.38999938964844,56.97999954223633,54.650001525878906,55.41999816894531,53.0861930847168,5146900
2016-03-11,56.189998626708984,57.08000183105469,55.619998931884766,56.970001220703125,54.570919036865234,4811200
2016-03-14,56.54999923706055,58.220001220703125,56.45000076293945,58.119998931884766,55.6724853515625,5432000
2016-03-15,57.70000076293945,58.22999954223633,57.65999984741211,58.029998779296875,55.58628463745117,3474000
2016-03-16,57.70000076293945,58.97999954223633,57.310001373291016,58.90999984741211,56.429222106933594,3839500
2016-03-17,58.56999969482422,58.9900016784668,58.2400016784668,58.72999954223633,56.256805419921875,3596200
